book_id,isbn,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,image_url,small_image_url,popularity,price
205,345476875,Anne Rice,1976,Interview with the Vampire,"Interview with the Vampire (The Vampire Chronicles, #1)",eng,3.97,372566,393941,7951,https://images.gr-assets.com/books/1380631642m/43763.jpg,https://images.gr-assets.com/books/1380631642s/43763.jpg,8,54.81
206,62059939,Kiera Cass,2012,The Selection,"The Selection (The Selection, #1)",en-US,4.15,505340,539091,35681,https://images.gr-assets.com/books/1322103400m/10507293.jpg,https://images.gr-assets.com/books/1322103400s/10507293.jpg,2,78.3
207,312362080,Janet Evanovich,1994,One for the Money,"One for the Money (Stephanie Plum, #1)",en-US,4.03,391007,403315,13050,https://images.gr-assets.com/books/1316730230m/6853.jpg,https://images.gr-assets.com/books/1316730230s/6853.jpg,2,86.85
208,1400052173,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks,The Immortal Life of Henrietta Lacks,eng,4.04,377249,404440,28624,https://images.gr-assets.com/books/1327878144m/6493208.jpg,https://images.gr-assets.com/books/1327878144s/6493208.jpg,1,19.13
209,99446782,Thomas Harris,1988,The Silence of the Lambs,"The Silence of the Lambs  (Hannibal Lecter, #2)",eng,4.14,351107,366112,3866,https://images.gr-assets.com/books/1390426249m/23807.jpg,https://images.gr-assets.com/books/1390426249s/23807.jpg,3,105.31
210,159514174X,Richelle Mead,2007,,"Vampire Academy (Vampire Academy, #1)",en-US,4.14,248283,455151,19720,https://images.gr-assets.com/books/1361098973m/345627.jpg,https://images.gr-assets.com/books/1361098973s/345627.jpg,2,106.99
211,316010669,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking,Blink: The Power of Thinking Without Thinking,en-US,3.89,348196,360338,12215,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,4,30.55
212,038572179X,Ian McEwan,2001,Atonement,Atonement,eng,3.88,347006,365658,14815,https://images.gr-assets.com/books/1320449708m/6867.jpg,https://images.gr-assets.com/books/1320449708s/6867.jpg,7,74.31
213,553213695,"Franz Kafka, Stanley Corngold",1915,Die Verwandlung,The Metamorphosis,eng,3.78,364933,414533,10252,https://images.gr-assets.com/books/1359061917m/485894.jpg,https://images.gr-assets.com/books/1359061917s/485894.jpg,8,65.34
214,141382899,Rick Riordan,2007,The Titan's Curse,"The Titan's Curse (Percy Jackson and the Olympians, #3)",eng,4.33,446668,486262,15418,https://images.gr-assets.com/books/1361038385m/561456.jpg,https://images.gr-assets.com/books/1361038385s/561456.jpg,1,26.13
215,030788743X,Ernest Cline,2011,,Ready Player One,eng,4.31,349423,421819,52120,https://images.gr-assets.com/books/1500930947m/9969571.jpg,https://images.gr-assets.com/books/1500930947s/9969571.jpg,8,79.82
216,1554681723,Garth Stein,2006,The Art of Racing in the Rain,The Art of Racing in the Rain,eng,4.19,327409,354319,32021,https://images.gr-assets.com/books/1377206302m/3153910.jpg,https://images.gr-assets.com/books/1377206302s/3153910.jpg,6,2.13
217,739303406,"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",eng,3.98,309385,350607,25846,https://images.gr-assets.com/books/1312066724m/21996.jpg,https://images.gr-assets.com/books/1312066724s/21996.jpg,6,106.93
218,425263908,Sylvia Day,2012,Bared to You,"Bared to You (Crossfire, #1)",eng,4.19,222678,386136,16748,https://images.gr-assets.com/books/1477803272m/13572249.jpg,https://images.gr-assets.com/books/1477803272s/13572249.jpg,1,23.85
219,66238501,"C.S. Lewis, Pauline Baynes",1956,The Chronicles of Narnia,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",eng,4.24,376385,401676,8871,https://images.gr-assets.com/books/1449868701m/11127.jpg,https://images.gr-assets.com/books/1449868701s/11127.jpg,10,51.88
220,316043133,Mark Cotta Vaz,,Twilight: The Complete Illustrated Movie Companion,Twilight: The Complete Illustrated Movie Companion,en-US,4.23,291411,291899,532,https://images.gr-assets.com/books/1352539022m/3609760.jpg,https://images.gr-assets.com/books/1352539022s/3609760.jpg,1,8.69
221,1558743669,Dave Pelzer,1995,"A Child Called ""It"": One Child's Courage to Survive","A Child Called ""It"" (Dave Pelzer #1)",eng,4.08,311543,321298,13729,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,10,99.19
222,752864327,Robert Ludlum,1980,The Bourne Identity,"The Bourne Identity (Jason Bourne, #1)",eng,3.98,327122,336212,3899,https://images.gr-assets.com/books/1335860740m/7869.jpg,https://images.gr-assets.com/books/1335860740s/7869.jpg,2,26.79
223,786817879,Eoin Colfer,2001,Artemis Fowl,"Artemis Fowl (Artemis Fowl, #1)",eng,3.82,386923,399165,8384,https://images.gr-assets.com/books/1327945104m/249747.jpg,https://images.gr-assets.com/books/1327945104s/249747.jpg,6,77.42
224,385738935,Lauren Kate,2009,Fallen,"Fallen (Fallen, #1)",en-US,3.74,395296,408108,17725,https://images.gr-assets.com/books/1440619649m/6487308.jpg,https://images.gr-assets.com/books/1440619649s/6487308.jpg,5,19.15
225,142000655,John Steinbeck,1952,East of Eden  ,East of Eden,eng,4.35,320919,336682,14454,https://images.gr-assets.com/books/1441547516m/4406.jpg,https://images.gr-assets.com/books/1441547516s/4406.jpg,1,15.63
226,307341569,Gillian Flynn,2009,Dark Places,Dark Places,eng,3.92,333452,386607,28784,https://images.gr-assets.com/books/1354988288m/5886881.jpg,https://images.gr-assets.com/books/1354988288s/5886881.jpg,5,36.94
227,385339089,John Grisham,1993,The Client,The Client,eng,3.97,320083,325663,1917,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,3,89.24
228,312291639,"Emma McLaughlin, Nicola Kraus",2002,The Nanny Diaries,"The Nanny Diaries (Nanny, #1)",eng,3.4,323762,328073,5121,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,4,71.57
229,451527747,"Lewis Carroll, John Tenniel, Martin Gardner",1865,Alice's Adventures in Wonderland,Alice's Adventures in Wonderland & Through the Looking-Glass,eng,4.06,340920,377190,7736,https://images.gr-assets.com/books/1327872220m/24213.jpg,https://images.gr-assets.com/books/1327872220s/24213.jpg,5,45.19
230,192802631,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,Persuasion,Persuasion,eng,4.13,365425,402359,13117,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,10,52.88
231,312370830,Tatiana de Rosnay,2007,Elle s'appelait Sarah,Sarah's Key,eng,4.14,312444,347631,26614,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,4,39.09
232,452284694,Stephen King,1982,The Gunslinger,"The Gunslinger (The Dark Tower, #1)",en-US,3.99,332494,366377,13014,https://images.gr-assets.com/books/1375776480m/43615.jpg,https://images.gr-assets.com/books/1375776480s/43615.jpg,10,41.25
233,140003468X,"Gabriel Garc??a M?≠rquez, Edith Grossman",1985,El amor en los tiempos del c??lera,Love in the Time of Cholera,eng,3.89,283806,323461,15246,https://images.gr-assets.com/books/1327124987m/9712.jpg,https://images.gr-assets.com/books/1327124987s/9712.jpg,6,95.79
234,014131088X,Laurie Halse Anderson,1999,Speak,Speak,eng,4,360156,372404,18379,https://images.gr-assets.com/books/1310121762m/439288.jpg,https://images.gr-assets.com/books/1310121762s/439288.jpg,10,107.51
235,399159347,Liane Moriarty,2013,The Husband's Secret ,The Husband's Secret,eng,3.92,232106,351805,27610,https://images.gr-assets.com/books/1460577225m/17802724.jpg,https://images.gr-assets.com/books/1460577225s/17802724.jpg,3,88.04
236,385494785,Jon Krakauer,1997,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Into Thin Air: A Personal Account of the Mount Everest Disaster,en-US,4.11,291258,301593,10439,https://images.gr-assets.com/books/1463384482m/1898.jpg,https://images.gr-assets.com/books/1463384482s/1898.jpg,7,59.57
237,1416524304,Stephen King,1974,Carrie,Carrie,,3.93,356814,377650,8264,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2,15.31
238,031242227X,Augusten Burroughs,2002,Running with Scissors,Running with Scissors,en-US,3.7,293878,306388,11601,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,8,25.86
239,307346609,Max Brooks,2006,World War Z: An Oral History of the Zombie War,World War Z: An Oral History of the Zombie War,en-US,4.01,312969,345149,22412,https://images.gr-assets.com/books/1386328204m/8908.jpg,https://images.gr-assets.com/books/1386328204s/8908.jpg,9,31.86
240,385537859,Dan Brown,2013,Inferno,"Inferno (Robert Langdon, #4)",eng,3.8,287533,345560,33700,https://images.gr-assets.com/books/1397093185m/17212231.jpg,https://images.gr-assets.com/books/1397093185s/17212231.jpg,9,42.48
241,440227534,Lois Lowry,1989,Number the Stars,Number the Stars,eng,4.11,333638,342365,10304,https://images.gr-assets.com/books/1370917812m/47281.jpg,https://images.gr-assets.com/books/1370917812s/47281.jpg,4,78.57
242,446692638,James Patterson,1993,Along Came a Spider,"Along Came a Spider (Alex Cross, #1)",eng,4.08,311499,318031,3600,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,6,104.45
243,450417395,Stephen King,1987,Misery,Misery,en-GB,4.11,334647,352203,6416,https://images.gr-assets.com/books/1270545451m/10614.jpg,https://images.gr-assets.com/books/1270545451s/10614.jpg,5,81.27
244,307341542,Gillian Flynn,2006,Sharp Objects,Sharp Objects,en-US,3.92,207889,354838,28268,https://images.gr-assets.com/books/1423241485m/66559.jpg,https://images.gr-assets.com/books/1423241485s/66559.jpg,10,71.81
245,439366771,Katherine Paterson,1977,Bridge to Terabithia,Bridge to Terabithia,eng,3.98,337644,353474,9270,https://images.gr-assets.com/books/1327880087m/2839.jpg,https://images.gr-assets.com/books/1327880087s/2839.jpg,7,16.94
246,312360266,"P.C. Cast, Kristin Cast",2007,Marked,"Marked (House of Night, #1)",en-US,3.79,360044,371020,12870,https://images.gr-assets.com/books/1317067002m/30183.jpg,https://images.gr-assets.com/books/1317067002s/30183.jpg,8,108.87
247,743269519,Stephen R. Covey,1989,The 7 Habits of Highly Effective People,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,en-US,4.05,314700,333884,6148,https://images.gr-assets.com/books/1421842784m/36072.jpg,https://images.gr-assets.com/books/1421842784s/36072.jpg,1,56.66
248,743477545,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595,A Midsummer Night's Dream,A Midsummer Night's Dream,eng,3.94,334241,361510,5724,https://images.gr-assets.com/books/1327874534m/1622.jpg,https://images.gr-assets.com/books/1327874534s/1622.jpg,5,54.21
249,618711651,Jonathan Safran Foer,2005,Extremely Loud and Incredibly Close,Extremely Loud and Incredibly Close,en-US,3.97,294726,319116,21107,https://images.gr-assets.com/books/1327879967m/4588.jpg,https://images.gr-assets.com/books/1327879967s/4588.jpg,7,9.59
250,375869026,R.J. Palacio,2012,Wonder,Wonder,eng,4.43,228538,377791,43021,https://images.gr-assets.com/books/1309285027m/11387515.jpg,https://images.gr-assets.com/books/1309285027s/11387515.jpg,6,3.53
251,039480001X,Dr. Seuss,1957,The Cat in the Hat,The Cat in the Hat,eng,4.15,314016,317182,4299,https://images.gr-assets.com/books/1468890477m/233093.jpg,https://images.gr-assets.com/books/1468890477s/233093.jpg,3,30.72
252,312641893,Marissa Meyer,2012,Cinder,"Cinder (The Lunar Chronicles, #1)",eng,4.15,427663,454146,41109,https://images.gr-assets.com/books/1470056948m/11235712.jpg,https://images.gr-assets.com/books/1470056948s/11235712.jpg,7,43.38
253,316206849,"Robert Galbraith, J.K. Rowling",2013,The Cuckoo's Calling,"The Cuckoo's Calling (Cormoran Strike, #1)",en-US,3.83,297712,340495,27258,https://images.gr-assets.com/books/1358716559m/16160797.jpg,https://images.gr-assets.com/books/1358716559s/16160797.jpg,8,93.4
254,545123267,Maggie Stiefvater,2009,Shiver,"Shiver (The Wolves of Mercy Falls, #1)",eng,3.78,356625,370811,20521,https://images.gr-assets.com/books/1409283154m/6068551.jpg,https://images.gr-assets.com/books/1409283154s/6068551.jpg,10,27.57
255,452011876,"Ayn Rand, Leonard Peikoff",1957,Atlas Shrugged,Atlas Shrugged,eng,3.68,283295,296645,14666,https://images.gr-assets.com/books/1405868167m/662.jpg,https://images.gr-assets.com/books/1405868167s/662.jpg,1,66.2
256,143038257,"Greg Mortenson, David Oliver Relin",2006,Three Cups of Tea ,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,en-US,3.64,283516,288520,21681,https://images.gr-assets.com/books/1395407074m/49436.jpg,https://images.gr-assets.com/books/1395407074s/49436.jpg,7,83.42
257,517223627,"Jane Carruth, Lewis Carroll, Rene Cloke",1865,,Alice in Wonderland,eng,4.03,343252,343271,4876,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,3,20.2
258,143034901,"Carlos Ruiz Zaf??n, Lucia Graves",2001,La sombra del viento,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",eng,4.24,263685,317554,24652,https://images.gr-assets.com/books/1344545047m/1232.jpg,https://images.gr-assets.com/books/1344545047s/1232.jpg,6,61.95
259,385738757,James Dashner,2010,The Scorch Trials,"The Scorch Trials (Maze Runner, #2)",eng,3.93,305643,346307,23058,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,7,91.12
260,,Dale Carnegie,1936,How to Win Friends and Influence People,How to Win Friends and Influence People,eng,4.13,282623,305437,7909,https://images.gr-assets.com/books/1442726934m/4865.jpg,https://images.gr-assets.com/books/1442726934s/4865.jpg,5,1.96
261,767900383,Frances Mayes,1996,Under the Tuscan Sun,Under the Tuscan Sun,eng,3.72,279264,281836,3074,https://images.gr-assets.com/books/1320524083m/480479.jpg,https://images.gr-assets.com/books/1320524083s/480479.jpg,8,4.3
262,399167064,Liane Moriarty,2014,Big Little Lies,Big Little Lies,eng,4.2,306186,371433,30120,https://images.gr-assets.com/books/1492239430m/19486412.jpg,https://images.gr-assets.com/books/1492239430s/19486412.jpg,1,1.84
263,590920685,Gail Carson Levine,1997,Ella Enchanted,Ella Enchanted,eng,3.97,339117,345749,8534,https://images.gr-assets.com/books/1410727190m/24337.jpg,https://images.gr-assets.com/books/1410727190s/24337.jpg,7,35.04
264,743297334,Ernest Hemingway,1926,The Sun Also Rises,The Sun Also Rises,en-US,3.83,284988,303117,9826,https://images.gr-assets.com/books/1331828228m/3876.jpg,https://images.gr-assets.com/books/1331828228s/3876.jpg,10,55.05
265,61120073,Betty  Smith,1943,A Tree Grows In Brooklyn ,A Tree Grows in Brooklyn,eng,4.24,291909,309000,16088,https://images.gr-assets.com/books/1327883484m/14891.jpg,https://images.gr-assets.com/books/1327883484s/14891.jpg,1,16.48
266,446677388,James Patterson,1995,Kiss the Girls,"Kiss the Girls (Alex Cross, #2)",eng,3.93,274639,279116,2798,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,9,23.76
267,312577222,Kristin Hannah,2015,The Nightingale,The Nightingale,eng,4.54,253606,327015,37279,https://images.gr-assets.com/books/1451446316m/21853621.jpg,https://images.gr-assets.com/books/1451446316s/21853621.jpg,1,80.2
268,1400078776,Kazuo Ishiguro,2005,Never Let Me Go,Never Let Me Go,eng,3.8,294123,323627,21927,https://images.gr-assets.com/books/1353048590m/6334.jpg,https://images.gr-assets.com/books/1353048590s/6334.jpg,4,76.82
269,786890754,Cecelia Ahern,2003,"PS, I Love You",P.S. I Love You,en-US,4.01,262921,283413,7069,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,10,36.83
270,1844080382,"Daphne du Maurier, Sally Beauman",1938,Rebecca,Rebecca,en-US,4.2,177384,329596,14920,https://images.gr-assets.com/books/1327871977m/12873.jpg,https://images.gr-assets.com/books/1327871977s/12873.jpg,5,74.48
271,156030306,Daniel Keyes,1966,Flowers for Algernon,Flowers for Algernon,en-US,4.07,313044,336199,11328,https://images.gr-assets.com/books/1367141311m/18373.jpg,https://images.gr-assets.com/books/1367141311s/18373.jpg,7,28.48
272,552995878,"Laura Esquivel, Thomas  Christensen, Carol Christensen",1989,Como agua para chocolate,Like Water for Chocolate,en-US,3.94,263199,285469,6559,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,4,60.95
273,812968069,Lisa See,2005,Snow Flower and the Secret Fan,Snow Flower and the Secret Fan,eng,4.05,280475,290660,15807,https://images.gr-assets.com/books/1327880508m/1103.jpg,https://images.gr-assets.com/books/1327880508s/1103.jpg,7,104.46
274,451205766,"Mario Puzo, Robert Thompson, Peter Bart",1969,The Godfather,The Godfather,eng,4.36,256480,270386,5832,https://images.gr-assets.com/books/1394988109m/22034.jpg,https://images.gr-assets.com/books/1394988109s/22034.jpg,7,67.8
275,525476881,John Green,2006,An Abundance of Katherines,An Abundance of Katherines,eng,3.63,312754,347424,20657,https://images.gr-assets.com/books/1360206426m/49750.jpg,https://images.gr-assets.com/books/1360206426s/49750.jpg,2,23.95
276,553803719,Isaac Asimov,1951,Foundation,Foundation (Foundation #1),eng,4.13,279688,297588,6240,https://images.gr-assets.com/books/1417900846m/29579.jpg,https://images.gr-assets.com/books/1417900846s/29579.jpg,6,42.3
277,62255657,Neil Gaiman,2013,The Ocean at the End of the Lane,The Ocean at the End of the Lane,eng,3.99,293844,336251,37655,https://images.gr-assets.com/books/1497098563m/15783514.jpg,https://images.gr-assets.com/books/1497098563s/15783514.jpg,6,13.65
278,60513063,Shel Silverstein,1981,A Light in the Attic,A Light in the Attic,eng,4.34,297861,304514,2431,https://images.gr-assets.com/books/1427169918m/30118.jpg,https://images.gr-assets.com/books/1427169918s/30118.jpg,8,107.86
279,751565350,"John Tiffany, Jack Thorne, J.K. Rowling",2016,"Harry Potter and the Cursed Child, Parts One and Two","Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",eng,3.75,270603,397773,53365,https://images.gr-assets.com/books/1470082995m/29056083.jpg,https://images.gr-assets.com/books/1470082995s/29056083.jpg,7,59.05
280,61726834,Lauren Oliver,2011,Delirium,"Delirium (Delirium, #1)",eng,3.99,256975,352398,24271,https://images.gr-assets.com/books/1327890411m/11614718.jpg,https://images.gr-assets.com/books/1327890411s/11614718.jpg,10,50.59
281,385339704,John Grisham,1992,The Pelican Brief,The Pelican Brief,eng,3.95,288376,296168,2006,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2,72.03
282,61139378,Neil Gaiman,2002,Coraline,Coraline,eng,4.03,316379,343630,13905,https://images.gr-assets.com/books/1493497435m/17061.jpg,https://images.gr-assets.com/books/1493497435s/17061.jpg,4,61.06
283,60853980,"Terry Pratchett, Neil Gaiman",1990,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",en-US,4.25,298304,326373,13914,https://images.gr-assets.com/books/1392528568m/12067.jpg,https://images.gr-assets.com/books/1392528568s/12067.jpg,10,65.46
284,140042598,Jack Kerouac,1955,On the Road,On the Road,eng,3.64,246602,277884,12011,https://images.gr-assets.com/books/1413588576m/70401.jpg,https://images.gr-assets.com/books/1413588576s/70401.jpg,9,62.68
285,1476729085,Graeme Simsion,2013,The Rosie Project,"The Rosie Project (Don Tillman, #1)",eng,4.01,251703,305509,31155,https://images.gr-assets.com/books/1371651741m/16181775.jpg,https://images.gr-assets.com/books/1371651741s/16181775.jpg,1,42.29
286,446579939,Nicholas Sparks,2008,The Lucky One,The Lucky One,en-US,4.1,267166,281323,9476,https://images.gr-assets.com/books/1420816338m/3063499.jpg,https://images.gr-assets.com/books/1420816338s/3063499.jpg,10,56.82
287,451191153,"Ayn Rand, Leonard Peikoff",1943,The Fountainhead,The Fountainhead,eng,3.85,244545,254976,10198,https://images.gr-assets.com/books/1491163636m/2122.jpg,https://images.gr-assets.com/books/1491163636s/2122.jpg,5,25.65
288,425172902,Tom Clancy,1984,The Hunt for Red October,"The Hunt for Red October (Jack Ryan Universe, #4)",,4.01,270318,278255,2117,https://images.gr-assets.com/books/1281995542m/19691.jpg,https://images.gr-assets.com/books/1281995542s/19691.jpg,4,48.4
289,038039586X,Richard Adams,1972,Watership Down,"Watership Down (Watership Down, #1)",eng,4.05,292426,308373,10399,https://images.gr-assets.com/books/1405136931m/76620.jpg,https://images.gr-assets.com/books/1405136931s/76620.jpg,3,81.92
290,307886263,Mindy Kaling,2011,Is Everyone Hanging Out Without Me? (And Other Concerns),Is Everyone Hanging Out Without Me? (And Other Concerns),eng,3.84,290674,312931,19397,https://images.gr-assets.com/books/1443264638m/10335308.jpg,https://images.gr-assets.com/books/1443264638s/10335308.jpg,5,38.82
291,375414495,Abraham Verghese,2009,Cutting for Stone,Cutting for Stone,eng,4.28,258319,281079,23146,https://images.gr-assets.com/books/1327931601m/3591262.jpg,https://images.gr-assets.com/books/1327931601s/3591262.jpg,8,34.29
292,006112527X,"C.S. Lewis, Pauline Baynes",1951,The Voyage of the Dawn Treader,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",eng,4.08,306492,325264,4620,https://images.gr-assets.com/books/1343185059m/140225.jpg,https://images.gr-assets.com/books/1343185059s/140225.jpg,8,51.73
293,753453800,Robert Louis Stevenson,1882,Treasure Island,Treasure Island,eng,3.82,268012,310515,7917,https://images.gr-assets.com/books/1485248909m/295.jpg,https://images.gr-assets.com/books/1485248909s/295.jpg,7,30.06
294,1423140591,Rick Riordan,2011,The Son of Neptune ,"The Son of Neptune (The Heroes of Olympus, #2)",eng,4.44,299980,316800,12270,https://images.gr-assets.com/books/1464201114m/9520360.jpg,https://images.gr-assets.com/books/1464201114s/9520360.jpg,2,1.44
295,1451627289,Stephen King,2011,11/22/1963,11/22/1963,eng,4.29,258464,303057,30656,https://images.gr-assets.com/books/1327876792m/10644930.jpg,https://images.gr-assets.com/books/1327876792s/10644930.jpg,1,65.83
296,241003008,Eric Carle,1969,The Very Hungry Caterpillar,The Very Hungry Caterpillar Board Book,eng,4.29,296952,304528,5760,https://images.gr-assets.com/books/1327878225m/4948.jpg,https://images.gr-assets.com/books/1327878225s/4948.jpg,7,19.46
297,140285601,Kurt Vonnegut Jr.,1963,Cat's Cradle,Cat's Cradle,eng,4.18,238940,274153,8050,https://images.gr-assets.com/books/1327867150m/135479.jpg,https://images.gr-assets.com/books/1327867150s/135479.jpg,8,55.27
298,451528557,"H.G. Wells, Greg Bear, Carlo Pagetti",1895,The Time Machine,The Time Machine,eng,3.87,276076,303730,7353,https://images.gr-assets.com/books/1327942880m/2493.jpg,https://images.gr-assets.com/books/1327942880s/2493.jpg,6,62.79
299,849946158,"Todd Burpo, Lynn Vincent",2010,,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,eng,4.01,228371,243018,14378,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,9,57.25
300,385751060,John Boyne,2006,The Boy in the Striped Pyjamas,The Boy in the Striped Pajamas,eng,4.1,285692,325401,19058,https://images.gr-assets.com/books/1366228171m/39999.jpg,https://images.gr-assets.com/books/1366228171s/39999.jpg,10,3.59
301,1892295490,Joseph Conrad,1899,Heart of Darkness,Heart of Darkness,eng,3.42,255576,308391,9791,https://images.gr-assets.com/books/1392799983m/4900.jpg,https://images.gr-assets.com/books/1392799983s/4900.jpg,7,84.18
302,044654759X,Nicholas Sparks,2010,Safe Haven,Safe Haven,eng,4.19,255531,274974,12769,https://images.gr-assets.com/books/1344268800m/7812659.jpg,https://images.gr-assets.com/books/1344268800s/7812659.jpg,4,97.34
303,1582701709,Rhonda Byrne,2006,The Secret,"The Secret (The Secret, #1)",eng,3.62,241537,250945,9663,https://images.gr-assets.com/books/1482865039m/52529.jpg,https://images.gr-assets.com/books/1482865039s/52529.jpg,10,42.7
304,60987561,Wally Lamb,1998,I Know This Much Is True ,I Know This Much Is True,eng,4.17,246917,257608,7775,https://images.gr-assets.com/books/1373532198m/227711.jpg,https://images.gr-assets.com/books/1373532198s/227711.jpg,1,32.07
305,1416524347,Stephen King,1983,Pet Sematary,Pet Sematary,eng,3.91,256383,293753,5430,https://images.gr-assets.com/books/1308894674m/10583.jpg,https://images.gr-assets.com/books/1308894674s/10583.jpg,3,53.92
306,671021001,Wally Lamb,1992,She's Come Undone,She's Come Undone,en-US,3.84,259576,268924,9090,https://images.gr-assets.com/books/1408313457m/5203.jpg,https://images.gr-assets.com/books/1408313457s/5203.jpg,6,27.99
307,756404738,Patrick Rothfuss,2011,The Wise Man's Fear,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",eng,4.57,245686,282349,15503,https://images.gr-assets.com/books/1452624392m/1215032.jpg,https://images.gr-assets.com/books/1452624392s/1215032.jpg,3,89.21
308,440241901,Sophie Kinsella,2003,Can You Keep a Secret?,Can You Keep a Secret?,en-US,3.83,278747,293801,9510,https://images.gr-assets.com/books/1330464293m/33724.jpg,https://images.gr-assets.com/books/1330464293s/33724.jpg,7,2.24
309,1442403543,Cassandra Clare,2011,City of Fallen Angels,"City of Fallen Angels (The Mortal Instruments, #4)",en-US,4.16,341826,373167,18870,https://images.gr-assets.com/books/1369452302m/6752378.jpg,https://images.gr-assets.com/books/1369452302s/6752378.jpg,4,7.33
310,743418174,Jennifer Weiner,2001,Good in Bed,"Good in Bed (Cannie Shapiro, #1)",en-US,3.7,248804,252305,5500,https://images.gr-assets.com/books/1327936464m/14748.jpg,https://images.gr-assets.com/books/1327936464s/14748.jpg,8,7.75
311,380018179,Colleen McCullough,1977,The Thorn Birds,The Thorn Birds,eng,4.22,255651,266826,4556,https://images.gr-assets.com/books/1391416796m/3412.jpg,https://images.gr-assets.com/books/1391416796s/3412.jpg,9,98.04
